序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
49,蓄电池及其他电池,-1.54,136162672.0,3.34,205400624.0,5.03,-69237952.0,-1.7,-104747008.0,-2.57,-36946256.0,-0.91,圣阳股份
50,国际工程,1.93,130999234.0,7.22,55040242.0,3.03,75958992.0,4.19,-47243632.0,-2.6,-83755616.0,-4.62,北方国际
51,贸易Ⅱ,-0.44,122514544.0,3.72,96923440.0,2.94,25591104.0,0.78,-30214352.0,-0.92,-92300192.0,-2.8,南京商旅
52,贸易Ⅲ,-0.44,122514544.0,3.72,96923440.0,2.94,25591104.0,0.78,-30214352.0,-0.92,-92300192.0,-2.8,南京商旅
53,商用载货车,0.69,121038464.0,4.13,79019904.0,2.69,42018560.0,1.43,-116529952.0,-3.97,-4508512.0,-0.15,江淮汽车
54,医药流通,0.51,119281328.0,2.39,70455680.0,1.41,48825648.0,0.98,-29808256.0,-0.6,-89473072.0,-1.8,鹭燕医药
55,快递,0.06,117061472.0,4.25,119550624.0,4.34,-2489152.0,-0.09,-149713888.0,-5.43,32652416.0,1.18,顺丰控股
56,改性塑料,-0.41,114754769.0,4.07,155260657.0,5.51,-40505888.0,-1.44,-64150272.0,-2.28,-51634800.0,-1.83,星辉环材
57,摩托车及其他,2.42,111241424.0,2.0,176167456.0,3.17,-64926032.0,-1.17,-143646544.0,-2.58,50582528.0,0.91,钱江摩托
58,医药商业,0.34,94644048.0,1.64,59284768.0,1.03,35359280.0,0.61,-31390848.0,-0.55,-63253200.0,-1.1,鹭燕医药
59,金融控股,-1.76,68060592.0,1.27,33809312.0,0.63,34251280.0,0.64,-44097248.0,-0.82,-23963328.0,-0.45,中油资本
60,检测服务,-0.83,61801181.0,2.21,5939741.0,0.21,55861440.0,1.99,-48685088.0,-1.74,-8979872.0,-0.32,华测检测
61,纺织服装设备,0.04,60578459.0,2.68,-166277.0,-0.01,60744736.0,2.69,-39245984.0,-1.73,-21332480.0,-0.94,宏华数科
62,城商行Ⅲ,0.39,56403792.0,0.85,-140290112.0,-2.11,196693904.0,2.96,-29302752.0,-0.44,-27101024.0,-0.41,南京银行
63,专业服务,-0.84,54277730.0,1.62,2337058.0,0.07,51940672.0,1.55,-28738800.0,-0.86,-21554144.0,-0.64,华测检测
64,冰洗,-0.5,51554922.0,2.22,82644538.0,3.56,-31089616.0,-1.34,-90172048.0,-3.88,38617120.0,1.66,海尔智家
65,水产饲料,0.68,47166551.0,5.73,19934499.0,2.42,27232052.0,3.31,-20544961.0,-2.5,-26621584.0,-3.24,天马科技
66,公路货运,0.48,37924100.0,5.43,26543588.0,3.8,11380512.0,1.63,2543606.0,0.36,-40467704.0,-5.79,天顺股份
67,楼宇设备,-0.13,36743225.0,2.32,25908745.0,1.64,10834480.0,0.68,-54322400.0,-3.43,18524464.0,1.17,广日股份
68,厨房电器,-0.62,33550945.0,4.13,-4658713.0,-0.57,38209658.0,4.7,5243580.0,0.64,-38794528.0,-4.77,华帝股份
69,其他纺织,-1.19,31123278.0,2.23,47792731.0,3.43,-16669453.0,-1.2,13163808.0,0.94,-44287104.0,-3.18,聚杰微纤
70,汽车综合服务,2.75,27250556.0,3.92,4003382.0,0.58,23247174.0,3.34,-7388009.0,-1.06,-19862544.0,-2.85,阿尔特
71,高速公路,-0.64,26443467.0,1.4,-13631381.0,-0.72,40074848.0,2.12,42924624.0,2.27,-69368096.0,-3.66,东莞控股
72,汽车服务,1.09,23516587.0,2.54,-821761.0,-0.09,24338348.0,2.63,-4691520.0,-0.51,-16791504.0,-1.81,阿尔特
73,影视院线,-0.18,20894064.0,0.48,-68643472.0,-1.58,89537536.0,2.06,155939856.0,3.58,-176833904.0,-4.06,光线传媒
74,固废治理,-2.29,17974992.0,0.24,24584192.0,0.33,-6609200.0,-0.09,185121456.0,2.47,-203731584.0,-2.72,高能环境
75,传媒,-0.7,17624544.0,0.04,-369662496.0,-0.92,387287040.0,0.96,816815616.0,2.03,-816502272.0,-2.03,蓝色光标
76,影视动漫制作,-0.11,17312268.0,0.47,-52303396.0,-1.41,69615664.0,1.87,142469024.0,3.84,-159781312.0,-4.3,光线传媒
