序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5384,002576,通达动力,17.34,-7.17,-1.34,107107.0,189712614.68,6.96,18.53,17.23,18.48,18.68,2.13,6.61,34.75,2.16,2862834000.0,2809558081.0,0.0,0.23,1.11,-0.34
5385,603272,联翔股份,33.0,-7.17,-2.55,134322.0,459588259.0,12.18,37.0,32.67,36.26,35.55,1.25,12.96,1168.89,6.13,3419691000.0,3419691000.0,-0.51,-0.33,76.85,64.1
5386,300332,天壕能源,6.08,-7.18,-0.47,816723.0,506585653.3,4.73,6.39,6.08,6.35,6.55,0.65,9.84,41.21,1.24,5260172502.0,5046326894.0,0.0,-0.16,12.8,16.48
5387,688551,科威尔,41.62,-7.2,-3.23,44831.0,192716676.0,8.58,45.35,41.5,45.35,44.85,0.96,5.33,53.91,2.63,3499022909.0,3499022909.0,0.05,-0.05,7.82,13.31
5388,301176,逸豪新材,24.6,-7.2,-1.91,56146.0,141229856.84,8.34,26.68,24.47,26.36,26.51,0.91,3.42,-161.13,2.74,4159040008.0,4035718757.0,0.37,-0.04,-5.57,-2.26
5389,688336,三生国健,75.58,-7.21,-5.87,138447.0,1066683180.0,7.43,81.0,74.95,80.77,81.45,1.74,2.24,16.11,5.53,46714977897.0,46616670235.0,0.21,0.53,23.84,26.88
5390,605060,联德股份,49.85,-7.22,-3.88,71492.0,367419485.0,8.36,54.29,49.8,54.0,53.73,1.58,2.99,52.67,4.86,11993511200.0,11911178940.0,0.02,-0.04,29.89,34.88
5391,300231,银信科技,11.21,-7.28,-0.88,372666.0,425584334.2,4.8,11.78,11.2,11.6,12.09,0.74,8.39,70.9,3.06,4980511067.0,4980255311.0,-0.36,-0.36,8.94,6.46
5392,301680,固德电材,104.0,-7.28,-8.17,39397.0,420393877.65,6.96,111.49,103.68,111.49,112.17,0.95,23.45,48.07,8.37,8611200000.0,1747457920.0,-0.63,-0.02,79.31,79.31
5393,603898,好莱客,14.11,-7.29,-1.11,83032.0,118616790.0,9.59,15.16,13.7,15.16,15.22,0.81,2.67,105.08,1.4,4393078825.0,4393078825.0,0.0,0.93,7.22,6.01
5394,300373,扬杰科技,67.47,-7.3,-5.31,234664.0,1584739798.18,4.74,69.65,66.2,69.15,72.78,2.4,4.33,29.13,3.84,36659675189.0,36578075149.0,-0.76,-0.87,1.02,-0.78
5395,603175,超颖电子,78.78,-7.3,-6.2,56306.0,451621846.0,7.53,83.99,77.59,83.66,84.98,0.98,12.8,148.82,11.86,34429169908.0,3466265484.0,0.19,0.29,17.39,15.51
5396,300164,通源石油,15.31,-7.32,-1.21,1493449.0,2332567984.21,6.17,16.3,15.28,16.17,16.52,1.01,25.61,120.18,6.18,9009301610.0,8928957011.0,0.07,0.0,179.89,177.36
5397,002782,可立克,21.02,-7.32,-1.66,216754.0,468110294.01,6.92,22.59,21.02,22.55,22.68,0.94,4.46,34.79,4.7,10425163553.0,10226255224.0,-0.19,-0.24,10.92,15.75
5398,301658,首航新能,47.5,-7.34,-3.76,135494.0,660844586.55,7.12,50.88,47.23,50.42,51.26,0.8,32.86,128.75,6.2,19587628913.0,1958762915.0,0.11,-0.06,61.95,66.32
5399,300611,美力科技,28.26,-7.37,-2.25,126517.0,366434589.92,7.51,30.49,28.2,30.41,30.51,1.34,8.53,38.31,4.85,5964970457.0,4191042215.0,-0.11,-0.32,4.47,3.67
5400,688313,仕佳光子,83.19,-7.38,-6.63,339508.0,2878081866.0,5.9,87.96,82.66,87.96,89.82,0.88,7.51,110.06,24.76,37600742626.0,37600742626.0,-0.01,0.1,-13.76,-6.3
5401,000010,美丽生态,3.88,-7.4,-0.31,496404.0,199032402.0,8.35,4.21,3.86,4.18,4.19,1.24,5.85,-104.86,13.66,4460650893.0,3290369340.0,-0.26,0.0,6.89,9.92
5402,688480,赛恩斯,76.92,-7.43,-6.17,53013.0,420414143.0,10.13,84.75,76.33,84.71,83.09,1.64,5.56,66.67,6.38,7332489689.0,7332489689.0,0.03,0.27,56.31,49.39
5403,300827,上能电气,38.88,-7.43,-3.12,543940.0,2205699380.97,8.19,42.24,38.8,41.49,42.0,0.67,14.12,52.21,8.1,21644168592.0,14978303944.0,-0.03,0.1,2.94,13.62
5404,301093,华兰股份,83.18,-7.45,-6.7,44690.0,383332367.92,7.57,89.8,83.0,89.8,89.88,1.34,2.85,192.13,6.28,13658291084.0,13053769371.0,-0.34,-0.12,67.9,62.78
